VIA GIUSEPPE CESARE ABBA 1,196,Centro sportivo Sandro Pertini - Sala camino                ,via della Battaglia 9, 
VIA GIUSEPPE CESARE ABBA 2,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 3,196,Centro sportivo Sandro Pertini - Sala camino                ,via della Battaglia 9, 
VIA GIUSEPPE CESARE ABBA 4,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 8,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 10,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 12,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 14,176,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 15,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 16,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 17,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 18,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 19,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 20,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 21,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 22,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 24,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 26,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 28,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA GIUSEPPE CESARE ABBA 30,175,Centro Sociale Casa del Gufo - Ufficio                      ,via Luigi Longo 12, 
VIA DELL'ABBADIA 4,49,Sede Quartiere Porto - Sala del Consiglio                   ,via dello Scalo 21, 
VIA DELL'ABBADIA 6,49,Sede Quartiere Porto - Sala del Consiglio                   ,via dello Scalo 21, 
VIA DELL'ABBADIA 6/2 ,49,Sede Quartiere Porto - Sala del Consiglio                   ,via dello Scalo 21, 
VIA DELL'ABBADIA 8,49,Sede Quartiere Porto - Sala del Consiglio                   ,via dello Scalo 21, 
VIA DELL'ABBADIA 10,49,Sede Quartiere Porto - Sala del Consiglio                   ,via dello Scalo 21, 
VIA ABRUZZO 3,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 5,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 6,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 7,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 8,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ABRUZZO 9,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 10,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ABRUZZO 11,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 12,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ABRUZZO 13,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA ABRUZZO 14,199,Centro sportivo Sandro Pertini - Sala conferenze            ,via della Battaglia 9, 
VIA ABRUZZO 15,172,Sede Quartiere Savena - Sala Piazza                         ,via Faenza 4, 
VIA DEGLI ACERI 1,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 2,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 4,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 21,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 23,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 25,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA DEGLI ACERI 27,95,Centro Sociale Pilastro - Sala corsi                        ,via Dino Campana 4, 
VIA ACHILLINI 1,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 2,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 3,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 4,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 5,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 6,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 7,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 8,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 9,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 10,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
VIA ACHILLINI 11,120,Centro Sociale Stella - Sala polivalente                    ,via Lodovico Savioli 3, 
